picked_by,first_name,last_name,full_name,player_id,position,team,years_exp,rookie_year,rookie_deal,contract_length,sal_rank,ntc_elig,_2023_2024,_2024_2025,_2025_2026,contracts_needed,Y0,Y1,Y2,taxi
hashbrown247,Jonathan,Taylor,Jonathan Taylor,6813,RB,IND,3,2020,,3,32,,$28,$34,$41,1,,,X,
hashbrown247,J.K.,Dobbins,J.K. Dobbins,6806,RB,BAL,3,2020,,1,50,,$16,,.,0,,,,
hashbrown247,Terry,McLaurin,Terry McLaurin,5927,WR,WAS,4,2019,,1,52,,$15,,.,0,,,,
hashbrown247,Quentin,Johnston,Quentin Johnston,9754,WR,LAC,0,2023,Y,3,71,,$10,$14,$20,0,,,,
hashbrown247,Jordan,Addison,Jordan Addison,9756,WR,MIN,0,2023,Y,3,71,,$10,$14,$20,0,,,,
hashbrown247,C.J.,Stroud,C.J. Stroud,9758,QB,HOU,0,2023,Y,3,71,,$10,$14,$20,0,,,,
hashbrown247,George,Pickens,George Pickens,8137,WR,PIT,1,2022,,2,87,,$7,$10,.,0,,,,
hashbrown247,Roschon,Johnson,Roschon Johnson,10235,RB,CHI,0,2023,Y,3,100,,$5,$7,$10,0,,,,
hashbrown247,Sam,LaPorta,Sam LaPorta,10859,TE,DET,0,2023,Y,3,100,,$5,$7,$10,0,,,,
hashbrown247,Evan,Engram,Evan Engram,4066,TE,JAX,6,2017,,1,126,,$4,,,1,X,,,
hashbrown247,Damien,Harris,Damien Harris,5890,RB,BUF,4,2019,,1,126,,$4,,.,0,,,,
hashbrown247,Amari,Cooper,Amari Cooper,2309,WR,CLE,8,2015,,1,133,,$3,,.,0,,,,
hashbrown247,Brandon,Aiyuk,Brandon Aiyuk,6803,WR,SF,3,2020,,2,133,,$3,$4,.,0,,,,
hashbrown247,Antonio,Gibson,Antonio Gibson,6945,RB,WAS,3,2020,,2,133,,$3,$4,,1,,X,,
hashbrown247,Rashod,Bateman,Rashod Bateman,7571,WR,BAL,2,2021,,1,133,,$3,,.,0,,,,
hashbrown247,Jerick,McKinnon,Jerick McKinnon,2161,RB,KC,9,2014,,1,162,,$2,,,1,X,,,
hashbrown247,Elijah,Moore,Elijah Moore,7596,WR,CLE,2,2021,,1,162,,$2,,.,0,,,,
hashbrown247,Khalil,Herbert,Khalil Herbert,7608,RB,CHI,2,2021,,1,162,,$2,,.,0,,,,
hashbrown247,Taysom,Hill,Taysom Hill,4381,TE,NO,6,2017,,1,194,,$1,,,1,X,,,
hashbrown247,Mac,Jones,Mac Jones,7527,QB,NE,2,2021,,1,194,,$1,,,1,X,,,
hashbrown247,Justyn,Ross,Justyn Ross,8140,WR,KC,1,2022,,1,194,,$1,,,1,X,,,
toshil,Ja'Marr,Chase,Ja'Marr Chase,7564,WR,CIN,2,2021,,3,7,Y,$62,$62,$62,1,,,X,
toshil,D'Andre,Swift,D'Andre Swift,6790,RB,PHI,3,2020,,1,12,,$56,,,0,,,,
toshil,Austin,Ekeler,Austin Ekeler,4663,RB,LAC,6,2017,,2,14,,$52,$63,,1,,X,,
toshil,Breece,Hall,Breece Hall,8155,RB,NYJ,1,2022,,2,38,,$21,$29,,0,,,,
toshil,Najee,Harris,Najee Harris,7528,RB,PIT,2,2021,,1,49,,$17,,,1,X,,,
toshil,Jahmyr,Gibbs,Jahmyr Gibbs,9221,RB,DET,0,2023,Y,3,52,,$15,$21,$29,0,,,,
toshil,Nico,Collins,Nico Collins,7569,WR,HOU,2,2021,,3,69,,$11,$14,$17,1,,,X,
toshil,Zach,Charbonnet,Zach Charbonnet,9753,RB,SEA,0,2023,Y,3,71,,$10,$14,$20,0,,,,X
toshil,Gabe,Davis,Gabe Davis,6943,WR,BUF,3,2020,,2,80,,$9,$11,,0,,,,
toshil,Brock,Purdy,Brock Purdy,8183,QB,SF,1,2022,,2,84,,$8,$10,,1,,X,,
toshil,Kyler,Murray,Kyler Murray,5849,QB,ARI,4,2019,,3,87,,$7,$9,$11,1,,,X,
toshil,Kendre,Miller,Kendre Miller,9757,RB,NO,0,2023,Y,3,100,,$5,$7,$10,0,,,,X
toshil,Chase,Brown,Chase Brown,9224,RB,CIN,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
toshil,Jayden,Reed,Jayden Reed,10222,WR,GB,0,2023,Y,3,133,,$3,$4,$6,0,,,,X
toshil,Tyler,Higbee,Tyler Higbee,3271,TE,LAR,7,2016,,1,162,,$2,,,1,X,,,
toshil,Hollywood,Brown,Hollywood Brown,5848,WR,ARI,4,2019,,2,162,,$2,$3,,1,,X,,
toshil,Juwan,Johnson,Juwan Johnson,7002,TE,NO,3,2020,,2,162,,$2,$3,,1,,X,,
toshil,Tyler,Badie,Tyler Badie,8208,RB,DEN,1,2022,,2,162,,$2,$3,,0,,,,
toshil,Ryan,Tannehill,Ryan Tannehill,1049,QB,TEN,11,2012,,1,194,,$1,,,1,X,,,
toshil,Hayden,Hurst,Hayden Hurst,4973,TE,CAR,5,2018,,2,194,,$1,$2,,1,,X,,
toshil,Allen,Lazard,Allen Lazard,5185,WR,NYJ,5,2018,,1,194,,$1,,,1,X,,,
toshil,Jeff,Wilson,Jeff Wilson,5284,RB,MIA,5,2018,,1,194,,$1,,,1,X,,,
toshil,Cole,Kmet,Cole Kmet,6826,TE,CHI,3,2020,,2,194,,$1,$2,,1,,X,,
toshil,Jake,Ferguson,Jake Ferguson,8110,TE,DAL,1,2022,,3,194,,$1,$2,$3,1,,,X,
patrickchan4687,A.J.,Brown,A.J. Brown,5859,WR,PHI,4,2019,,1,20,,$42,,.,1,X,,,
patrickchan4687,Nick,Chubb,Nick Chubb,4988,RB,CLE,5,2018,,2,23,,$39,$47,.,1,,X,,
patrickchan4687,Javonte,Williams,Javonte Williams,7588,RB,DEN,2,2021,,3,28,,$33,$40,$48,1,,,X,
patrickchan4687,David,Montgomery,David Montgomery,5892,RB,DET,4,2019,,1,35,,$23,,,1,X,,,
patrickchan4687,Jaylen,Waddle,Jaylen Waddle,7526,WR,MIA,2,2021,,1,38,,$21,,.,1,X,,,
patrickchan4687,Tua,Tagovailoa,Tua Tagovailoa,6768,QB,MIA,3,2020,,2,45,,$18,$22,.,1,,X,,
patrickchan4687,Alvin,Kamara,Alvin Kamara,4035,RB,NO,6,2017,,2,50,,$16,$20,,1,,X,,
patrickchan4687,T.J.,Hockenson,T.J. Hockenson,5844,TE,MIN,4,2019,,3,52,,$15,$18,$22,1,,,X,
patrickchan4687,Chris,Olave,Chris Olave,8144,WR,NO,1,2022,,2,62,,$14,$20,.,1,,X,,
patrickchan4687,Diontae,Johnson,Diontae Johnson,5937,WR,PIT,4,2019,,2,71,,$10,$12,.,1,,X,,
patrickchan4687,Kirk,Cousins,Kirk Cousins,1166,QB,MIN,11,2012,,2,80,,$9,$11,.,1,,X,,
patrickchan4687,Dawson,Knox,Dawson Knox,5906,TE,BUF,4,2019,,1,100,,$5,,.,1,X,,,
patrickchan4687,Tony,Pollard,Tony Pollard,5967,RB,DAL,4,2019,,2,100,,$5,$6,.,1,,X,,
patrickchan4687,Amon-Ra,St. Brown,Amon-Ra St. Brown,7547,WR,DET,2,2021,,2,100,,$5,$6,.,1,,X,,
patrickchan4687,Hassan,Haskins,Hassan Haskins,8123,RB,TEN,1,2022,,2,100,,$5,$7,.,1,,X,,
patrickchan4687,Wan'Dale,Robinson,Wan'Dale Robinson,8126,WR,NYG,1,2022,,2,100,,$5,$7,.,1,,X,,
patrickchan4687,Isaiah,Likely,Isaiah Likely,8131,TE,BAL,1,2022,,2,100,,$5,$7,.,1,,X,,
patrickchan4687,Tank,Bigsby,Tank Bigsby,9225,RB,JAX,0,2023,Y,3,100,,$5,$7,$10,1,,,X,X
patrickchan4687,Will,Levis,Will Levis,9999,QB,TEN,0,2023,Y,3,100,,$5,$7,$10,1,,,X,X
patrickchan4687,Christian,Kirk,Christian Kirk,4950,WR,JAX,5,2018,,1,133,,$3,,.,1,X,,,
patrickchan4687,Zach,Evans,Zach Evans,9222,RB,LAR,0,2023,Y,3,133,,$3,$4,$6,1,,,X,X
patrickchan4687,Rashee,Rice,Rashee Rice,10229,WR,KC,0,2023,Y,3,133,,$3,$4,$6,1,,,X,X
patrickchan4687,Sam,Howell,Sam Howell,8162,QB,WAS,1,2022,,2,162,,$2,$3,.,1,,X,,
patrickchan4687,Kayshon,Boutte,Kayshon Boutte,9504,WR,NE,0,2023,Y,3,194,,$1,$1,$2,1,,,X,
nbaguy8,Christian,McCaffrey,Christian McCaffrey,4034,RB,SF,6,2017,,1,12,,$56,,,0,,,,
nbaguy8,Tyreek,Hill,Tyreek Hill,3321,WR,MIA,7,2016,,1,16,,$46,,.,0,,,,
nbaguy8,Davante,Adams,Davante Adams,2133,WR,LV,9,2014,,1,27,,$34,,,0,,,,
nbaguy8,Darren,Waller,Darren Waller,2505,TE,NYG,8,2015,,1,35,,$23,,,0,,,,
nbaguy8,Bijan,Robinson,Bijan Robinson,9509,RB,ATL,0,2023,Y,3,52,,$15,$21,$29,0,,,,
nbaguy8,James,Cook,James Cook,8138,RB,BUF,1,2022,,2,62,,$14,$20,.,0,,,,
nbaguy8,Dak,Prescott,Dak Prescott,3294,QB,DAL,7,2016,,2,67,,$12,$15,,0,,,,
