team,player,full_name_ai,metadata,y0,y1,y2,Rookie,contract_years
antonius405,M. Mariota,Marcus Mariota,QB - ATL (14),4,5,6,,
antonius405,R. Tannehill,Ryan Tannehill,QB - TEN (6),2,3,4,,
antonius405,H. Hurst,Hayden Hurst,TE - CIN (10),2,3,4,,
antonius405,K. Toney,Kadarius Toney,WR - NYG (9),1,2,3,,3
antonius405,J. Landry,Jarvis Landry,WR - NO (14),1,2,3,,3
antonius405,D. Lock,Drew Lock,QB - SEA (11),1,2,3,,
antonius405,D. Chark,DJ Chark,WR - DET (6),1,2,3,,
antonius405,D. Peoples-Jones,Donovan Peoples-Jones,WR - CLE (9),1,2,3,,
antonius405,C. Samuel,Curtis Samuel,WR - WAS (14),1,2,3,,
antonius405,S. Michel,Sony Michel,RB - MIA (11),1,2,3,,
antonius405,B. Scott,Boston Scott,RB - PHI (7),1,2,3,,
antonius405,S. Perine,Samaje Perine,RB - CIN (10),1,2,3,,
antonius405,D. Hilliard,Dontrell Hilliard,RB - TEN (6),1,2,3,,
antonius405,T. Burks,Treylon Burks,WR - TEN (6),15,21,30,3,
antonius405,T. Allgeier,Tyler Allgeier,RB - ATL (14),5,7,10,13,
antonius405,C. Watson,Christian Watson,WR - GB (14),3,5,7,23,
antonius405,T. McBride,Trey McBride,TE - ARI (13),1,2,3,33,
toshil,J. Chase,Ja'Marr Chase,WR - CIN (10),67,81,98,,
toshil,J. Williams,Javonte Williams,RB - DEN (9),63,76,92,,
toshil,C. Kupp,Cooper Kupp,WR - LAR (7),56,68,82,,
toshil,D. Swift,D'Andre Swift,RB - DET (6),46,56,68,,2
toshil,G. Davis,Gabe Davis,WR - BUF (7),7,9,11,,3
toshil,D. Jones,Daniel Jones,QB - NYG (9),4,5,6,,
toshil,C. Edwards-Helaire,Clyde Edwards-Helaire,RB - KC (8),4,5,6,,
toshil,C. Sutton,Courtland Sutton,WR - DEN (9),4,5,6,,3
toshil,T. Pollard,Tony Pollard,RB - DAL (9),4,5,6,,3
toshil,M. Gesicki,Mike Gesicki,TE - MIA (11),2,3,4,,
toshil,D. Smith,DeVonta Smith,WR - PHI (7),2,3,4,,3
toshil,C. Kirk,Christian Kirk,WR - JAX (11),2,3,4,,2
toshil,B. Cooks,Brandin Cooks,WR - HOU (6),2,3,4,,2
toshil,N. Hines,Nyheim Hines,RB - IND (14),2,3,4,,
toshil,J. Williams,Jamaal Williams,RB - DET (6),2,3,4,,
toshil,J. Winston,Jameis Winston,QB - NO (14),2,3,4,,
toshil,B. Mayfield,Baker Mayfield,QB - CAR (13),2,3,4,,
toshil,D. Singletary,Devin Singletary,RB - BUF (7),1,2,3,,
toshil,R. Penny,Rashaad Penny,RB - SEA (11),1,2,3,,
toshil,H. Henry,Hunter Henry,TE - NE (10),1,2,3,,
toshil,D. Pierce,Dameon Pierce,RB - HOU (6),15,21,30,3,
toshil,Z. White,Zamir White,RB - LV (6),5,7,10,13,
toshil,I. Likely,Isaiah Likely,TE - BAL (10),3,5,7,23,
toshil,T. Badie,Tyler Badie,RB - BAL (10),1,2,3,33,
Teamocil86,K. Murray,Kyler Murray,QB - ARI (13),63,76,92,,
Teamocil86,M. Andrews,Mark Andrews,TE - BAL (10),36,44,53,,3
Teamocil86,D. Samuel,Deebo Samuel,WR - SF (9),35,42,51,,2
Teamocil86,A. Rodgers,Aaron Rodgers,QB - GB (14),34,41,50,,
Teamocil86,L. Fournette,Leonard Fournette,RB - TB (11),28,34,41,,
Teamocil86,M. Stafford,Matthew Stafford,QB - LAR (7),26,32,39,,
Teamocil86,A. Gibson,Antonio Gibson,RB - WAS (14),15,18,22,,
Teamocil86,M. Evans,Mike Evans,WR - TB (11),15,18,22,,3
Teamocil86,K. Cousins,Kirk Cousins,QB - MIN (7),7,9,11,,3
Teamocil86,J. Jacobs,Josh Jacobs,RB - LV (6),6,8,10,,2
Teamocil86,J. Jeudy,Jerry Jeudy,WR - DEN (9),6,8,10,,2
Teamocil86,C. Claypool,Chase Claypool,WR - PIT (9),2,3,4,,
Teamocil86,R. Gage,Russell Gage,WR - TB (11),1,2,3,,
Teamocil86,I. Smith,Irv Smith,TE - MIN (7),1,2,3,,
Teamocil86,R. Jones,Ronald Jones,RB - KC (8),1,2,3,,
Teamocil86,M. Valdes-Scantling,Marquez Valdes-Scantling,WR - KC (8),1,2,3,,2
Teamocil86,K. Golladay,Kenny Golladay,WR - NYG (9),1,2,3,,
Teamocil86,R. Anderson,Robbie Anderson,WR - CAR (13),1,2,3,,3
Teamocil86,M. Davis,Mike Davis,RB - BAL (10),1,2,3,,
Teamocil86,D. Johnson,D'Ernest Johnson,RB - CLE (9),1,2,3,,
Teamocil86,K. Walker,Kenneth Walker,RB - SEA (11),10,14,20,7,
Teamocil86,I. Spiller,Isaiah Spiller,RB - LAC (8),5,7,10,17,
Teamocil86,W. Robinson,Wan'Dale Robinson,WR - NYG (9),3,5,7,27,
Teamocil86,M. Corral,Matt Corral,QB - CAR (13),1,2,3,37,
nbaguy8,R. Wilson,Russell Wilson,QB - DEN (9),51,62,75,,
nbaguy8,C. Lamb,CeeDee Lamb,WR - DAL (9),50,60,72,,
nbaguy8,T. Lance,Trey Lance,QB - SF (9),43,52,63,,
nbaguy8,A. Kamara,Alvin Kamara,RB - NO (14),39,47,57,,
nbaguy8,T. Hill,Tyreek Hill,WR - MIA (11),38,46,56,,
nbaguy8,D. Prescott,Dak Prescott,QB - DAL (9),36,44,53,,
nbaguy8,J. Conner,James Conner,RB - ARI (13),8,10,12,,3
nbaguy8,M. Gordon,Melvin Gordon,RB - DEN (9),3,4,5,,2
nbaguy8,C. Ridley,Calvin Ridley,WR - ATL (14),2,3,4,,3
nbaguy8,D. Njoku,David Njoku,TE - CLE (9),1,2,3,,
nbaguy8,D. Henderson,Darrell Henderson,RB - LAR (7),1,2,3,,
nbaguy8,J. Meyers,Jakobi Meyers,WR - NE (10),1,2,3,,2
nbaguy8,M. Hardman,Mecole Hardman,WR - KC (8),1,2,3,,
nbaguy8,Z. Moss,Zack Moss,RB - BUF (7),1,2,3,,
nbaguy8,C. Davis,Corey Davis,WR - NYJ (10),1,2,3,,
nbaguy8,G. Edwards,Gus Edwards,RB - BAL (10),1,2,3,,2
nbaguy8,C. Evans,Chris Evans,RB - CIN (10),1,2,3,,
nbaguy8,S. Watkins,Sammy Watkins,WR - GB (14),1,2,3,,
nbaguy8,W. Fuller,Will Fuller,WR -,1,2,3,,
nbaguy8,T. Marshall,Terrace Marshall,WR - CAR (13),1,2,3,,
nbaguy8,J. Cook,James Cook,RB - BUF (7),10,14,20,7,
nbaguy8,G. Wilson,Garrett Wilson,WR - NYJ (10),5,7,10,17,
nbaguy8,J. Tolbert,Jalen Tolbert,WR - DAL (9),3,5,7,27,
nbaguy8,T. Davis-Pric,Tyrion Davis-Price,RB - SF (9),1,2,3,37,
sammyboiie,C. McCaffrey,Christian McCaffrey,RB - CAR (13),85,102,123,,
sammyboiie,J. Herbert,Justin Herbert,QB - LAC (8),70,84,101,,2
sammyboiie,D. Cook,Dalvin Cook,RB - MIN (7),56,68,82,,2
sammyboiie,G. Kittle,George Kittle,TE - SF (9),15,18,22,,3
sammyboiie,T. McLaurin,Terry McLaurin,WR - WAS (14),12,15,18,,2
sammyboiie,M. Thomas,Michael Thomas,WR - NO (14),10,12,15,,
sammyboiie,A. Dillon,AJ Dillon,RB - GB (14),8,10,12,,3
sammyboiie,C. Edmonds,Chase Edmonds,RB - MIA (11),4,5,6,,2
sammyboiie,A. St. Brown,Amon-Ra St. Brown,WR - DET (6),4,5,6,,3
sammyboiie,M. Ryan,Matt Ryan,QB - IND (14),3,4,5,,
sammyboiie,A. Mattison,Alexander Mattison,RB - MIN (7),3,4,5,,3
sammyboiie,I. McKenzie,Isaiah McKenzie,WR - BUF (7),2,3,4,,
sammyboiie,N. Collins,Nico Collins,WR - HOU (6),2,3,4,,
sammyboiie,J. Smith-Schuster,JuJu Smith-Schuster,WR - KC (8),1,2,3,,
sammyboiie,C. Patterson,Cordarrelle Patterson,RB - ATL (14),1,2,3,,
sammyboiie,J. Palmer,Joshua Palmer,WR - LAC (8),1,2,3,,
sammyboiie,D. Foreman,D'Onta Foreman,RB - CAR (13),1,2,3,,
sammyboiie,J. Love,Jordan Love,QB - GB (14),1,2,3,,
sammyboiie,M. Ingram,Mark Ingram,RB - NO (14),1,2,3,,
sammyboiie,J. McKissic,J.D. McKissic,RB - WAS (14),1,2,3,,
sammyboiie,K. Pickett,Kenny Pickett,QB - PIT (9),10,14,20,7,
sammyboiie,R. White,Rachaad White,RB - TB (11),5,7,10,17,
sammyboiie,P. Strong,Pierre Strong,RB - NE (10),3,5,7,27,
sammyboiie,K. Ingram,Keaontay Ingram,RB - ARI (13),1,2,3,37,
patrickchan4687,J. Taylor,Jonathan Taylor,RB - IND (14),95,114,137,,
patrickchan4687,A. Ekeler,Austin Ekeler,RB - LAC (8),40,48,58,,
patrickchan4687,D. Carr,Derek Carr,QB - LV (6),26,32,39,,2
patrickchan4687,D. Moore,DJ Moore,WR - CAR (13),20,24,29,,2
patrickchan4687,J. Waddle,Jaylen Waddle,WR - MIA (11),17,21,26,,2
