team,full_name_ai,franchise_tag
PersianEmpire99,Travis Etienne,
PersianEmpire99,Aaron Jones,
PersianEmpire99,Kareem Hunt,
PersianEmpire99,Marquise Brown,
PersianEmpire99,Julio Jones,
PersianEmpire99,Rashod Bateman,
PersianEmpire99,Brandon Aiyuk,
PersianEmpire99,Allen Lazard,
PersianEmpire99,Rondale Moore,
PersianEmpire99,Noah Fant,
PersianEmpire99,Robert Tonyan,
PersianEmpire99,Odell Beckham,
PersianEmpire99,Chuba Hubbard,
PersianEmpire99,Trey Sermon,
PersianEmpire99,Darrel Williams,
PersianEmpire99,Tyler Higbee,
PersianEmpire99,Jameson Williams,
PersianEmpire99,Skyy Moore,
PersianEmpire99,Velus Jones,
PersianEmpire99,David Bell,
